SITE,PROV,BLOCK,TREE,S_MAT,S_MCMT,S_MAP,S_MSP,S_Latitude,S_Longitude,S_Elevation,P_MAT,P_MCMT,P_MAP,P_MSP,P_Elevation,P_Latitude,P_Longitude,Height,live
MID,11,4,2,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,852.0287699,1
MID,11,3,4,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,816.0743445,1
MID,11,3,3,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,796.7846117,1
MID,11,4,3,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,818.7873115,1
MID,11,4,1,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,841.5839091,1
MID,11,3,1,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,802.9576942,1
MID,11,4,7,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,670.81095,1
MID,11,3,9,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,808.5904159,1
MID,11,3,8,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,817.1962562,1
MID,11,3,5,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,835.3090273,1
MID,11,3,6,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,835.9847279,1
MID,11,3,2,1.9,-12.9,565,247,54.199481,-125.002,670,-1.6,-21.8,471,288,396,59.82882437,-122.1212635,836.6471874,1
MID,12,3,4,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,875.7266682,1
MID,12,4,1,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,924.7235484,1
MID,12,4,4,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,743.9704436,1
MID,12,3,7,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,743.9704436,1
MID,12,4,8,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,942.0257779,1
MID,12,4,3,1.9,-12.9,565,247,54.199481,-125.002,670,3.6,-10,682,203,945,51.40283166,-117.0364792,743.9704436,1
